,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
756,7,9,9,7,2600,2600
757,13,16,16,13,2300,2300
758,15,13,13,15,4000,4000
759,6,13,13,6,2100,2100
760,7,12,12,7,250,250
761,17,11,11,17,800,800
762,11,26,26,11,1000,1000
763,17,40,40,17,2050,2050
764,5,12,12,5,3700,3700
765,6,16,16,6,2550,2550
766,7,15,15,7,750,750
767,11,34,34,11,2050,2050
768,7,24,24,7,4000,4000
769,10,2,2,10,5000,5000
770,6,36,36,6,4000,4000
771,8,7,7,8,3250,3250
772,6,7,7,6,2700,2700
773,8,36,36,8,2250,2250
774,5,19,19,5,3000,3000
775,5,22,22,5,3500,3500
776,5,26,26,5,2250,2250
777,5,18,18,5,4500,4500
778,11,15,15,11,2000,2000
779,13,20,20,13,1000,1000
780,18,13,13,18,250,250
781,5,12,12,5,1450,1450
782,5,30,30,5,2300,2300
783,5,5,5,5,2450,2450
784,5,11,11,5,350,350
785,7,5,5,7,2550,2550
786,8,9,9,8,800,800
787,7,11,11,7,1250,1250
788,9,30,30,9,2100,2100
789,5,11,11,5,2300,2300
790,10,13,13,10,2300,2300
791,6,13,13,6,700,700
792,6,13,13,6,1600,1600
793,6,6,6,6,1750,1750
794,5,16,16,5,700,700
795,9,12,12,9,950,950
796,5,16,16,5,1800,1800
797,5,19,19,5,2450,2450
798,5,12,12,5,3200,3200
799,6,35,35,6,5000,5000
800,11,3,3,11,100,100
801,5,5,5,5,100,100
802,5,19,19,5,2500,2500
803,5,16,16,5,3100,3100
804,5,9,9,5,900,900
805,9,30,30,9,2250,2250
806,7,10,10,7,3600,3600
807,7,30,30,7,3500,3500
808,6,11,11,6,3600,3600
809,7,10,10,7,100,100
810,6,11,11,6,1300,1300
811,6,17,17,6,750,750
812,7,9,9,7,1200,1200
813,5,15,15,5,1700,1700
814,6,24,24,6,2600,2600
815,9,13,13,9,1200,1200
816,6,18,18,6,3350,3350
817,6,15,15,6,2800,2800
